ParticipantNo: 99999
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_09
!!1_dsp2_09
5.38:  41.15117,90.16945,29.99999,box 1,4
5.4:  41.15117,90.16945,31.49999,box 1,4
5.42:  41.15117,90.16945,32.99999,box 1,4
5.43:  41.15117,90.16945,34.49999,box 1,4
5.45:  41.15117,90.16945,35.99999,box 1,4
5.47:  41.15117,90.16945,37.49999,box 1,4
5.48:  41.15117,90.16945,38.99999,box 1,4
5.5:  41.15117,90.16945,40.49999,box 1,4
5.52:  41.15117,90.16945,41.99999,box 1,4
5.53:  41.15117,90.16945,43.49999,box 1,4
5.55:  41.15117,90.16945,45,box 1,4
5.57:  41.15117,90.16945,46.5,box 1,4
5.58:  41.15117,90.16945,48,box 1,4
5.6:  41.15117,90.16945,49.49999,box 1,4
5.62:  41.15117,90.16945,51,box 1,4
5.63:  41.15117,90.16945,52.49999,box 1,4
5.65:  41.15117,90.16945,53.99999,box 1,4
5.67:  41.15117,90.16945,55.5,box 1,4
5.68:  41.15117,90.16945,57,box 1,4
5.7:  41.15117,90.16945,58.5,box 1,4
5.72:  41.15117,90.16945,60,box 1,4
5.73:  41.15117,90.16945,61.49999,box 1,4
5.75:  41.15117,90.16945,62.99999,box 1,4
5.77:  41.15117,90.16945,64.5,box 1,4
5.78:  41.15117,90.16945,66,box 1,4
5.8:  41.16319,90.17442,67.5,box 1,4
5.82:  41.18691,90.18353,69,box 1,4
5.83:  41.224,90.19678,70.34532,box 1,4
5.85:  41.27139,90.2126,71.54238,box 1,4
5.87:  41.33143,90.23142,72.58969,box 1,4
5.88:  41.40392,90.25291,73.48687,box 1,4
5.9:  41.48904,90.27695,74.23344,box 1,4
5.92:  41.58575,90.30317,74.83051,box 1,4
5.93:  41.69535,90.33197,75.27726,box 1,4
5.95:  41.81705,90.36327,75.57391,box 1,4
5.97:  41.95052,90.39724,75.72092,box 1,4
5.98:  42.09605,90.43428,75.72092,box 2,4
6:  42.25402,90.47449,75.72092,box 2,4
6.02:  42.42221,90.5173,75.72092,box 2,4
6.03:  42.60409,90.56358,75.72092,box 2,4
6.05:  42.8022,90.61401,75.72092,box 2,4
6.07:  43.00775,90.66632,75.72092,box 2,4
6.08:  43.22589,90.72183,75.72092,box 2,4
6.1:  43.45784,90.78087,75.72092,box 2,4
6.12:  43.69638,90.84158,75.72092,box 2,4
6.13:  43.94152,90.90397,75.72092,box 2,4
6.15:  44.18349,90.96555,75.72092,box 2,4
6.17:  44.42457,91.02691,75.72092,box 2,4
6.18:  44.66899,91.08911,75.72092,box 2,4
6.2:  44.91041,91.15056,75.72092,box 2,4
6.22:  45.15245,91.21216,75.72092,box 2,4
6.23:  45.3917,91.27305,75.72092,box 2,4
6.25:  45.6342,91.33477,75.72092,box 2,4
6.27:  45.87877,91.39701,75.72092,box 2,4
6.28:  46.12153,91.4588,75.72092,box 2,4
6.3:  46.3673,91.51454,77.22091,box 2,4
6.32:  46.61079,91.5631,78.72092,box 2,4
6.33:  46.85815,91.60574,80.22092,box 2,4
6.35:  47.1054,91.64172,81.72092,box 2,4
6.37:  47.34974,91.67076,83.22092,box 2,4
6.38:  47.60077,91.69395,84.72092,box 2,4
6.4:  47.85588,91.71081,86.22092,box 2,4
6.42:  48.10423,91.72069,87.72092,box 2,4
6.43:  48.35486,91.7241,89.22092,box 2,4
6.45:  48.60822,91.72158,90.56889,box 2,4
6.47:  48.85358,91.714,91.76958,box 2,4
6.48:  49.10357,91.70169,92.82009,box 2,4
6.5:  49.35228,91.68551,93.72107,box 2,4
6.52:  49.60181,91.666,94.47186,box 2,4
6.53:  49.85163,91.64382,95.07217,box 2,4
6.55:  50.10215,91.61961,95.52148,box 2,4
6.57:  50.34851,91.59448,95.8222,box 2,4
6.58:  50.58885,91.56932,95.97793,box 2,4
6.6:  50.82951,91.54408,95.98846,box 2,4
6.62:  51.07909,91.51789,95.98846,box 2,4
6.63:  51.32917,91.49166,95.98846,box 2,4
6.65:  51.58451,91.46487,95.98846,box 2,4
6.67:  51.84925,91.4371,95.98846,box 2,4
6.68:  52.09525,91.41129,95.98846,box 2,4
6.7:  52.34327,91.38528,95.98846,box 2,4
6.72:  52.58351,91.36008,95.98846,box 2,4
6.73:  52.826,91.33464,95.98846,box 2,4
6.75:  53.06565,91.3095,95.98846,box 2,4
6.77:  53.31679,91.28316,95.98846,box 2,4
6.78:  53.56566,91.25705,95.98846,box 2,4
6.8:  53.81446,91.23095,95.98846,box 2,4
6.82:  54.06766,91.20439,95.98846,box 2,4
6.83:  54.32402,91.1775,95.98846,box 2,4
6.85:  54.57638,91.15102,95.98846,box 2,4
6.87:  54.8246,91.12498,95.98846,box 2,4
6.88:  55.07367,91.09885,95.98846,box 2,4
6.9:  55.32288,91.07272,95.98846,box 2,4
6.92:  55.57214,91.04657,95.98846,box 2,4
6.93:  55.81734,91.02084,95.98846,box 2,4
6.95:  56.06901,90.99445,95.98846,box 2,4
6.97:  56.31771,90.96835,95.98846,box 2,4
6.98:  56.56919,90.94198,95.98846,box 2,4
7:  56.8157,90.91611,95.98846,box 2,4
7.02:  57.06269,90.89021,95.98846,box 2,4
7.03:  57.31231,90.86402,95.98846,box 2,4
7.05:  57.55985,90.83805,95.98846,box 2,4
7.07:  57.81188,90.81161,95.98846,box 2,4
7.08:  58.05264,90.78636,95.98846,box 2,4
7.1:  58.30217,90.76019,95.98846,box 2,4
7.12:  58.54909,90.73428,95.98846,box 2,4
7.13:  58.80145,90.70781,95.98846,box 2,4
7.15:  59.04795,90.68195,95.98846,box 2,4
7.17:  59.29465,90.65607,95.98846,box 2,4
7.18:  59.54421,90.62989,95.98846,box 2,4
7.2:  59.79467,90.60362,95.98846,box 2,4
7.22:  60.04245,90.57763,95.98846,box 2,4
7.23:  60.29184,90.55147,95.98846,box 2,4
7.25:  60.53987,90.52545,95.98846,box 2,4
7.27:  60.78571,90.49966,95.98846,box 2,4
7.28:  61.03613,90.47339,95.98846,box 2,4
7.3:  61.28448,90.44733,95.98846,box 2,4
7.32:  61.53469,90.42109,95.98846,box 2,4
7.33:  61.77885,90.40192,94.48847,box 2,4
7.35:  62.02826,90.3889,92.98847,box 2,4
7.37:  62.27702,90.38244,91.48846,box 2,4
7.38:  62.52748,90.38249,89.98846,box 3,4
7.4:  62.7735,90.38898,88.48846,box 3,4
7.42:  63.03005,90.40179,87.14259,box 3,4
7.43:  63.28578,90.41989,85.95053,box 3,4
7.45:  63.53778,90.44234,84.91028,box 3,4
7.47:  63.78684,90.46842,84.02028,box 3,4
7.48:  64.01917,90.49583,83.27065,box 3,4
7.5:  64.26482,90.52744,82.66961,box 3,4
7.52:  64.51456,90.56156,82.2198,box 3,4
7.53:  64.77131,90.59798,81.92561,box 3,4
7.55:  65.02246,90.63425,81.78366,box 3,4
7.57:  65.27034,90.67004,81.78366,box 3,4
7.58:  65.50862,90.70444,81.78366,box 3,4
7.6:  65.75326,90.73977,81.78366,box 3,4
7.62:  66.00245,90.77575,81.78366,box 3,4
7.63:  66.24799,90.8112,81.78366,box 3,4
7.65:  66.4989,90.84743,81.78366,box 3,4
7.67:  66.74563,90.88306,81.78366,box 3,4
7.68:  66.99932,90.91969,81.78366,box 3,4
7.7:  67.24808,90.95561,81.78366,box 3,4
7.72:  67.49522,90.99129,81.78366,box 3,4
7.73:  67.74377,91.02719,81.78366,box 3,4
7.75:  67.98943,91.06266,81.78366,box 3,4
7.77:  68.23696,91.0984,81.78366,box 3,4
7.78:  68.485,91.13422,81.78366,box 3,4
7.8:  68.73199,91.16988,81.78366,box 3,4
7.82:  68.97944,91.20561,81.78366,box 3,4
7.83:  69.2308,91.24191,81.78366,box 3,4
7.85:  69.47143,91.27665,81.78366,box 3,4
7.87:  69.71976,91.31251,81.78366,box 3,4
7.88:  69.96676,91.34818,81.78366,box 3,4
7.9:  70.20547,91.38264,81.78366,box 3,4
7.92:  70.45222,91.41827,81.78366,box 3,4
