ParticipantNo: 11007
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_14
!!1_dsp1_14
8.18:  85.81845,72.15791,10.00003,box 7,6
8.2:  86.06522,72.36658,9.400031,box 7,6
8.22:  86.30318,72.58333,9.000031,box 7,6
8.23:  86.52877,72.80454,8.700031,box 7,6
8.25:  86.73568,73.02248,8.500031,box 7,6
8.27:  86.93484,73.24901,8.300032,box 7,6
8.28:  87.11837,73.4743,8.200031,box 7,6
8.3:  87.28919,73.70249,8.000031,box 7,6
8.32:  87.44571,73.93206,7.700032,box 7,6
8.33:  87.59013,74.16743,7.300031,box 7,6
8.35:  87.71921,74.40308,6.900032,box 7,6
8.37:  87.83454,74.64166,6.500032,box 7,6
8.38:  87.96032,74.88291,5.700032,box 7,6
8.4:  88.09173,75.11607,5.200032,box 7,6
8.42:  88.23862,75.35704,4.800032,box 7,6
8.43:  88.39568,75.59773,4.300032,box 7,6
8.45:  88.56138,75.83809,3.600032,box 7,6
8.47:  88.73603,76.07988,2.800032,box 7,6
8.48:  88.921,76.32516,2.000032,box 7,6
8.5:  89.11417,76.57067,1.300032,box 7,6
8.52:  89.29491,76.82327,0.600032,box 7,6
8.53:  89.45345,77.06578,0.100032,box 7,6
8.55:  89.60323,77.31693,359.8,box 7,6
8.57:  89.74113,77.57166,359.6,box 7,6
8.58:  89.86125,77.81528,359.6,box 7,6
8.6:  89.97313,78.06776,359.6,box 7,6
8.62:  90.07275,78.32281,359.5,box 7,6
8.63:  90.15622,78.56997,359.3,box 7,6
8.65:  90.2285,78.82478,359.1,box 7,6
8.67:  90.28553,79.07137,358.9,box 7,6
8.68:  90.33046,79.32408,358.7,box 7,6
8.7:  90.3619,79.57735,358.5,box 7,6
8.72:  90.38054,79.82763,358.5,box 7,6
8.73:  90.38674,80.07647,358.5,box 7,6
8.75:  90.37924,80.3631,358.5,box 7,6
8.77:  90.37364,80.57681,358.5,box 7,6
8.78:  90.36716,80.82439,358.5,box 6,6
8.8:  90.36063,81.07361,358.5,box 6,6
8.82:  90.35402,81.32634,358.5,box 6,6
8.83:  90.34745,81.57701,358.5,box 6,6
8.85:  90.33942,81.86458,358.4,box 6,6
8.87:  90.3327,82.0785,358.2,box 6,6
8.89:  90.32272,82.36443,358,box 6,6
8.9:  90.31421,82.57613,357.7,box 6,6
8.92:  90.30186,82.82856,357.2,box 6,6
8.93:  90.28651,83.07262,356.4,box 6,6
8.95:  90.26797,83.32514,355.8,box 6,6
8.97:  90.24551,83.57682,354.9,box 6,6
8.98:  90.22082,83.81989,354.2,box 6,6
9:  90.19168,84.06789,353.3,box 6,6
9.02:  90.15831,84.31801,352.4,box 6,6
9.03:  90.12189,84.56461,351.6,box 6,6
9.05:  90.08233,84.8116,350.9,box 6,6
9.07:  90.03922,85.06119,350.2,box 6,6
9.09:  89.9865,85.34023,349.3,box 6,6
9.1:  89.94372,85.54863,348.4,box 6,6
9.12:  89.9014,85.79522,347.4,box 6,6
9.13:  89.86602,86.04412,346.2,box 6,6
9.15:  89.83742,86.29721,345,box 6,6
9.17:  89.81207,86.55424,343,box 6,6
9.18:  89.79237,86.80737,341.5,box 6,6
