ParticipantNo: 11016
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_21
!!1_dsp1_21
9.02:  16.35264,102.1708,175.1,box 6,10
9.03:  16.12345,101.8986,175.1,box 6,10
9.05:  15.91132,101.6334,175.1,box 6,10
9.07:  15.70995,101.3674,175.1,box 6,10
9.08:  15.51895,101.0996,175.1,box 6,10
9.1:  15.3417,100.8349,175.1,box 6,10
9.12:  15.17657,100.571,175.1,box 6,10
9.13:  15.02473,100.3098,175.1,box 6,10
9.15:  14.88212,100.0449,175.2,box 6,10
9.17:  14.74624,99.7677,175.2,box 6,10
9.18:  14.63389,99.51572,175.2,box 6,10
9.2:  14.53005,99.25735,175.3,box 6,10
9.22:  14.43505,98.99023,175.4,box 6,10
9.23:  14.3591,98.74595,175.4,box 6,10
9.25:  14.29086,98.48864,175.5,box 6,10
9.27:  14.23286,98.21819,175.5,box 6,10
9.28:  14.19231,97.97813,175.5,box 6,10
9.3:  14.16199,97.72717,175.5,box 6,10
9.32:  14.14409,97.46305,175.4,box 6,10
